TIPO CLIENTE,CPF/CNPJ,NOME/RAZÃO SOCIAL,TELEFONE,EMAIL,CEP,LOGRADOURO,COMPLEMENTO,BAIRRO,ESTADO,MUNICIPIO,NATUREZA DA OPERAÇÃO,ATIVIDADE,DESCRIÇÃO,VALOR,Status,Nota Fiscal
PF,100.381.600-46,Cauê Moraes,00-9999-0010,caue@email.com,10000-010,Rua 11,0,Bairro 11,Mato Grosso,MUNIC 11,,01.04.02 - elaboração de jogo eletrônico,PRODUTO 11  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2010,Processado com sucesso,172145
PF,100.381.600-47,João Cavalcanti,00-9999-0011,jc@email.com,10000-011,Rua 12,,Bairro 12,Mato Grosso do Sul,MUNIC 12,,01.04.01 - elaboração de programa de computadores,PRODUTO 12  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2011,Processado com sucesso,182114
PJ,10.375.443/0001-05,Comercial Contabilidade,00-9999-0012,comercial@email.com,10000-012,Rua 13,,Bairro 13,Minas Gerais,MUNIC 13,TO - Tributada em outro Município,01.08.01 - projeto de páginas eletrônicas,PRODUTO 13  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2012,Processado com sucesso,182146
PF,100.381.600-48,Emanuel Moura,00-9999-0013,emanuel@email.com,10000-013,Rua 14,,Bairro 14,Pará,MUNIC 14,,01.07.01 - suporte técnico em informática,PRODUTO 14  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2013,Processado com sucesso,192116
PF,100.381.600-49,Gustavo Henrique Silveira,00-9999-0014,gus@email.com,10000-014,Rua 15,,Bairro 15,Paraíba,MUNIC 15,,"01.03.08 - Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres; aplicativos ou sistemas de informação, entre outros formatos, e congêneres.",PRODUTO 15  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2014,Processado com sucesso,192151
PJ,10.375.443/0001-06,Vintage Comercio,00-9999-0015,vintage@email.com,10000-015,Rua 16,0,Bairro 16,Paraná,MUNIC 16,TM - Tributada no Município,08.02.02 - treinamento,PRODUTO 16  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2015,Processado com sucesso,202122
PJ,10.375.443/0001-07,Vendas peculiares,00-9999-0016,peculi@email.com,10000-016,Rua 17,,Bairro 17,Pernambuco,MUNIC 17,TM - Tributada no Município,01.06.01 - assessoria ou consultoria em informática,PRODUTO 17  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2016,Processado com sucesso,202154
PJ,10.375.443/0001-08,Sandro Prion Atacadista,00-9999-0017,sandro@email.com,10000-017,Rua 18,0,Bairro 18,Piauí,MUNIC 18,TO - Tributada em outro Município,01.01.02 - desenvolvimento de sistemas,PRODUTO 18  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2017,Processado com sucesso,212126
PJ,10.375.443/0001-09,Bebê a bordo industria e comercio,00-9999-0018,bbb@email.com,10000-018,Rua 19,,Bairro 19,Rio de Janeiro,MUNIC 19,TO - Tributada em outro Município,01.04.02 - elaboração de jogo eletrônico,PRODUTO 19  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2018,Processado com sucesso,212159
PF,100.381.600-50,Gustavo Henrique Cardoso,00-9999-0019,gustavo@email.com,10000-019,Rua 20,0,Bairro 20,Rio Grande do Norte,MUNIC 20,,01.04.01 - elaboração de programa de computadores,PRODUTO 20  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2019,Processado com sucesso,222130
PF,100.381.600-51,Clarice Cardoso,00-9999-0020,clarice@email.com,10000-020,Rua 21,,Bairro 21,Rio Grande do Sul,MUNIC 21,,01.08.01 - projeto de páginas eletrônicas,PRODUTO 21  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2020,Processado com sucesso,222159
PJ,10.375.443/0001-10,Brinquedos qualific,00-9999-0021,brinq@email.com,10000-021,Rua 22,,Bairro 22,Rondônia,MUNIC 22,TM - Tributada no Município,01.07.01 - suporte técnico em informática,PRODUTO 22  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2021,Processado com sucesso,232130
PF,100.381.600-52,Ana Clara das Neves,00-9999-0022,anac@email.com,10000-022,Rua 23,,Bairro 23,Roraima,MUNIC 23,,"01.03.08 - Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres; aplicativos ou sistemas de informação, entre outros formatos, e congêneres.",PRODUTO 23  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2022,Processado com sucesso,24217
PF,100.381.600-53,Luís da Luz,00-9999-0023,luis@email.com,10000-023,Rua 24,,Bairro 24,Santa Catarina,MUNIC 24,,08.02.02 - treinamento,PRODUTO 24  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2023,Processado com sucesso,242135
PF,100.381.600-54,André Fernandes,00-9999-0024,andre@email.com,10000-024,Rua 25,,Bairro 25,São Paulo,MUNIC 25,,01.06.01 - assessoria ou consultoria em informática,PRODUTO 25  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2024,Processado com sucesso,25215
PJ,10.375.443/0001-11,Sabão ensaboado ltds,00-9999-0025,sabao@email.com,10000-025,Rua 26,0,Bairro 26,Sergipe,MUNIC 26,TO - Tributada em outro Município,01.01.02 - desenvolvimento de sistemas,PRODUTO 26  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2025,Processado com sucesso,252136
PJ,10.375.443/0001-12,Doces venda,00-9999-0026,doces@email.com,10000-026,Rua 27,0,Bairro 27,Tocantins,MUNIC 27,TM - Tributada no Município,01.04.02 - elaboração de jogo eletrônico,PRODUTO 27  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2026,Processado com sucesso,26218
PJ,10.375.443/0001-13,Arrojado brincos  ltda,00-9999-0027,arroj@email.com,10000-027,Rua 28,0,Bairro 28,Acre,MUNIC 28,TM - Tributada no Município,01.04.01 - elaboração de programa de computadores,PRODUTO 28  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2027,Processado com sucesso,262140
PF,100.381.600-55,Maria Clara das Neves,00-9999-0028,mcn@email.com,10000-028,Rua 29,,Bairro 29,Alagoas,MUNIC 29,,01.08.01 - projeto de páginas eletrônicas,PRODUTO 29  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2028,Processado com sucesso,272110
PF,100.381.600-56,Luiz Fernando Santos,00-9999-0029,lfs@email.com,10000-029,Rua 30,,Bairro 30,Amazonas,MUNIC 30,,01.07.01 - suporte técnico em informática,PRODUTO 30  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2029,Processado com sucesso,272139
PJ,10.375.443/0001-14,Opcional industria e cia,00-9999-0030,opc@email.com,10000-030,Rua 31,,Bairro 31,Amapá,MUNIC 31,TM - Tributada no Município,"01.03.08 - Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres; aplicativos ou sistemas de informação, entre outros formatos, e congêneres.",PRODUTO 31  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2030,Processado com sucesso,282116
PJ,10.375.443/0001-15,vagalume total marketing,00-9999-0031,vaga@email.com,10000-031,Rua 32,,Bairro 32,Bahia,MUNIC 32,TO - Tributada em outro Município,08.02.02 - treinamento,PRODUTO 32  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2031,Processado com sucesso,282148
PJ,10.375.443/0001-16,biblioteca facil,00-9999-0032,bfacil@email.com,10000-032,Rua 33,,Bairro 33,Ceará,MUNIC 33,TO - Tributada em outro Município,01.06.01 - assessoria ou consultoria em informática,PRODUTO 33  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2032,Processado com sucesso,292121
PF,100.381.600-57,Catarina Fernandes,00-9999-0033,cata@email.com,10000-033,Rua 34,,Bairro 34,Distrito Federal,MUNIC 34,,01.01.02 - desenvolvimento de sistemas,PRODUTO 34  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2033,Processado com sucesso,292151
PF,100.381.600-58,Stephany Caldeira,00-9999-0034,step@email.com,10000-034,Rua 35,,Bairro 35,Espírito Santo,MUNIC 35,,01.04.02 - elaboração de jogo eletrônico,PRODUTO 35  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2034,Processado com sucesso,302120
PF,100.381.600-59,Laura Ferreira,00-9999-0035,lferr@email.com,10000-035,Rua 36,,Bairro 36,Goiás,MUNIC 36,,01.04.01 - elaboração de programa de computadores,PRODUTO 36  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2035,Processado com sucesso,302149
PJ,10.375.443/0001-17,grupo online cdd ltda,00-9999-0036,cdd@email.com,10000-036,Rua 37,,Bairro 37,Maranhão,MUNIC 37,TM - Tributada no Município,01.08.01 - projeto de páginas eletrônicas,PRODUTO 37  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2036,Processado com sucesso,312120
PJ,10.375.443/0001-18,fabrica de condimentos usualus ltds,00-9999-0037,usualus@email.com,10000-037,Rua 38,,Bairro 38,Mato Grosso,MUNIC 38,TM - Tributada no Município,01.07.01 - suporte técnico em informática,PRODUTO 38  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2037,Processado com sucesso,312153
PJ,10.375.443/0001-19,Sobrancelha marrom s/a,00-9999-0038,sobra@email.com,10000-038,Rua 39,,Bairro 39,Mato Grosso do Sul,MUNIC 39,TO - Tributada em outro Município,"01.03.08 - Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres; aplicativos ou sistemas de informação, entre outros formatos, e congêneres.",PRODUTO 39  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2038,Processado com sucesso,322132
PF,100.381.600-60,Evelyn Silveira,00-9999-0039,evelynca@email.com,10000-039,Rua 40,0,Bairro 40,Minas Gerais,MUNIC 40,,08.02.02 - treinamento,PRODUTO 40  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2039,Processado com sucesso,33211
PF,100.381.600-61,Maria Sofia Rezende,00-9999-0040,msof@email.com,10000-040,Rua 41,0,Bairro 41,Pará,MUNIC 41,,01.06.01 - assessoria ou consultoria em informática,PRODUTO 41  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2040,Processado com sucesso,332130
PF,100.381.600-62,Júlia da Cunha,00-9999-0041,jul@email.com,10000-041,Rua 42,,Bairro 42,Paraíba,MUNIC 42,,01.01.02 - desenvolvimento de sistemas,PRODUTO 42  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2041,Processado com sucesso,332159
PJ,10.375.443/0001-20,Utilidades uteis s/a,00-9999-0042,uuteis@email.com,10000-042,Rua 43,,Bairro 43,Paraná,MUNIC 43,TM - Tributada no Município,01.04.02 - elaboração de jogo eletrônico,PRODUTO 43  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2042,Processado com sucesso,342130
PJ,10.375.443/0001-21,intensivo rápido cosmeticos,00-9999-0043,cosmetic@email.com,10000-043,Rua 44,,Bairro 44,Pernambuco,MUNIC 44,TM - Tributada no Município,01.04.01 - elaboração de programa de computadores,PRODUTO 44  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2043,Processado com sucesso,35213
PJ,10.375.443/0001-22,Fiel candelabro roxo ltda,00-9999-0044,fiel@email.com,10000-044,Rua 45,,Bairro 45,Piauí,MUNIC 45,TM - Tributada no Município,01.08.01 - projeto de páginas eletrônicas,PRODUTO 45  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2044,Processado com sucesso,352135
PJ,10.375.443/0001-23,Gatilhos unificados S/A,00-9999-0045,gat@email.com,10000-045,Rua 46,,Bairro 46,Rio de Janeiro,MUNIC 46,TO - Tributada em outro Município,01.07.01 - suporte técnico em informática,PRODUTO 46  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2045,Processado com sucesso,36217
PF,100.381.600-63,Rafaela da Paz,00-9999-0046,rpaz@email.com,10000-046,Rua 47,0,Bairro 47,Rio Grande do Norte,MUNIC 47,,"01.03.08 - Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres; aplicativos ou sistemas de informação, entre outros formatos, e congêneres.",PRODUTO 47  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2046,Processado com sucesso,362143
PF,100.381.600-64,Maria Sofia Peixoto,00-9999-0047,mspeix@email.com,10000-047,Rua 48,0,Bairro 48,Rio Grande do Sul,MUNIC 48,,08.02.02 - treinamento,PRODUTO 48  - Descrição detalhada do produto xpto - Conforme a lei xx.xxxx de xx-xx-xxxx,2047,Processado com sucesso,372112
